Ville,Architecture,Terrain,Distance_côte,Climat,Eau_proche,Montagne,Taille,Points_intérêt,Grande_ville_proche,lat,lng
Oulad Barhil,Traditionnelle,Montagne,120,Aride,Oued Souss,Anti-Atlas,Petite,"Marché local, Mosquée",Agadir,30.6408,-8.475
Biougra,Traditionnelle,Plaine,30,Aride,Oued Souss,Anti-Atlas,Petite,"Marché hebdomadaire, Mosquée",Agadir,30.2144,-9.3708
Inezgane,Moderne,Plaine,10,Aride,Oued Souss,Anti-Atlas,Moyenne,"Souk El Had, Zone commerciale",Agadir,30.3658,-9.5381
Ait Melloul,Moderne,Plaine,15,Aride,Oued Souss,Anti-Atlas,Moyenne,"Zone industrielle, Mosquée",Agadir,30.3342,-9.4972
My Drarga,Moderne,Plaine,8,Aride,Oued Souss,Anti-Atlas,Petite,"Zone résidentielle, Mosquée",Agadir,30.38,-9.48
Agadir,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Anti-Atlas,Grande,"Marina, Kasbah, Plages",Agadir,30.4333,-9.6
Temsia,Traditionnelle,Plaine,20,Aride,Oued Souss,Anti-Atlas,Petite,"Marché local, Mosquée",Agadir,30.36,-9.414
Oulad Teïma,Traditionnelle,Plaine,40,Aride,Oued Souss,Anti-Atlas,Petite,"Marché agricole, Mosquée",Agadir,30.4,-9.2167
Chichaoua,Traditionnelle,Plaine,90,Aride,Oued Chichaoua,Haut Atlas,Petite,"Marché rural, Kasbah",Marrakech,31.5333,-8.7667
Tameslouht,Traditionnelle,Plaine,30,Aride,Oued Tensift,Haut Atlas,Petite,"Zaouia, Jardins",Marrakech,31.5,-8.1
Ait Ourir,Traditionnelle,Montagne,60,Aride,Oued Zat,Haut Atlas,Petite,"Souk hebdomadaire, Kasbahs",Marrakech,31.5644,-7.6628
Marrakech,Traditionnelle,Plaine,150,Aride,Oued Tensift,Haut Atlas,Grande,"Médina, Jamaa El Fna, Jardins Majorelle",Marrakech,31.63,-8.0089
Demnat,Traditionnelle,Montagne,150,Aride,Oued El Abid,Atlas,Petite,"Pont naturel d'Imi n'Ifri, Kasbahs",Béni Mellal,31.7311,-7.0361
Errachidia,Traditionnelle,Désertique,300,Aride,Oued Ziz,Atlas,Petite,"Palmeraie, Kasbahs",Midelt,31.9319,-4.4244
Arfoud,Traditionnelle,Désertique,350,Aride,Oued Ziz,Atlas,Petite,"Fossiles, Dunes de Merzouga",Errachidia,31.4361,-4.2328
Aziylal,Traditionnelle,Montagne,180,Aride,Oued El Abid,Haut Atlas,Petite,"Cascades d'Ouzoud, Kasbahs",Béni Mellal,31.9669,-6.5694
Al Attawia,Traditionnelle,Plaine,180,Aride,Oued Lakhdar,Atlas,Petite,"Marché local, Mosquée",Marrakech,31.8347,-7.3125
Youssoufia,Moderne,Plaine,100,Aride,Oued Oum Er-Rbia,Atlas,Petite,"Mines de phosphate, Mosquée",Safi,32.25,-8.5333
Safi,Traditionnelle,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Grande,"Port, Céramique, Médina",Safi,32.2833,-9.2333
Ben Guerir,Moderne,Plaine,120,Aride,Oued Tensift,Atlas,Moyenne,"Université Mohammed VI, Mines",Marrakech,32.23,-7.95
Sidi Smai'il,Traditionnelle,Plaine,80,Aride,Oued Oum Er-Rbia,Atlas,Petite,"Marché local, Mosquée",El Jadida,32.8167,-8.5
Béni Mellal,Moderne,Montagne,150,Aride,Oued El Abid,Atlas,Grande,"Kasbah Bel-Kush, Université",Béni Mellal,32.3394,-6.3608
Midalt,Traditionnelle,Montagne,250,Aride,Oued Moulouya,Moyen Atlas,Petite,"Kasbahs, Mines",Errachidia,32.68,-4.73
Settat,Moderne,Plaine,70,Aride,Oued Oum Er-Rbia,Atlas,Moyenne,"Université Hassan I, Mosquée",Casablanca,33.0,-7.6167
El Jadid,Traditionnelle,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Grande,"Cité portugaise, Plages",El Jadida,33.2333,-8.5
Moulay Abdallah,Traditionnelle,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Petite,"Moussem, Plages",El Jadida,33.1978,-8.5883
Barrechid,Moderne,Plaine,30,Aride,Oued Oum Er-Rbia,Atlas,Moyenne,"Zone industrielle, Mosquée",Casablanca,33.2667,-7.5833
Bouskoura,Moderne,Plaine,20,Aride,Oued Oum Er-Rbia,Atlas,Moyenne,"Forêt de Bouskoura, Zone industrielle",Casablanca,33.4489,-7.6486
Bir Jdid,Traditionnelle,Plaine,10,Aride,Oued Oum Er-Rbia,Atlas,Petite,"Marché local, Mosquée",El Jadida,33.3737,-8.0002
Ad Darwa,Traditionnelle,Plaine,25,Aride,Oued Oum Er-Rbia,Atlas,Petite,"Marché local, Mosquée",Casablanca,33.4167,-7.5333
Casablanca,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Grande,"Mosquée Hassan II, Corniche",Casablanca,33.5333,-7.5833
Tit Mellil,Moderne,Plaine,15,Aride,Oued Oum Er-Rbia,Atlas,Petite,"Zone industrielle, Mosquée",Casablanca,33.5533,-7.4822
Aïn Harrouda,Moderne,Plaine,10,Aride,Oued Oum Er-Rbia,Atlas,Petite,"Zone industrielle, Mosquée",Casablanca,33.6372,-7.4483
Mohammedia,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Moyenne,"Port, Plages",Casablanca,33.6833,-7.3833
